name,role,tier,refine_v24,refine_min,refine_r2019,d_r2019,score,refine,refine_R,refine_F,bss,brier,logloss,auc,pred_mean,d,score_cold,score_m1,se_vs_anchor,n_folds,delta_vs_anchor,beats_anchor,brier_cal,logloss_cal,logloss_cold
glm_offset_hgb+K0,candidate,,752.0939060091538,-760.6300738326681,1601.6169105642236,-0.026138637905982032,843.4121943776739,959.2611761582139,719.0599273270617,12.727783412958033,0.00843412194377674,0.24660742368194,0.6863445398026233,0.5565430214115898,0.5210636983534678,0.0011505474445384217,1151.3396486740237,286.7514808850751,19.405287254043547,4,245.31194466783018,True,,,
hgb82_reg_avg3+K0,candidate,,742.5612319373811,-1181.0505747710279,1563.1257912273204,-0.02734622696857858,718.9839567189132,851.9891994572483,701.3680419586409,256.9112451604267,0.0071898395671891316,0.2469178904525574,0.6870324461585005,0.5562332402212438,0.5215425504980176,0.0016293995890881569,909.4318921329472,13.619848392348786,19.22388080048578,4,235.77927059605747,True,,,
hgb82_reg+K0,candidate,,742.5154077017977,-1191.6991302561823,1551.736221286339,-0.027188047139296456,714.6040994359864,846.4106127253968,692.8035630121583,250.03895157778118,0.007146040994359865,0.2469287580653251,0.6870517660768105,0.5559392053165433,0.5215456312884017,0.0016324803794723342,866.7198499219837,-9.775568604292175,19.714309358027453,4,235.7334463604741,True,,,
glm_offset_hgb+RC2,candidate,,718.1830784348334,-801.9722991430699,nan,nan,-144.1781831502176,-41.89461035411824,650.7033471345383,276.18300466061027,-0.001441781831502176,0.2502645663014803,0.693937030848641,0.5382706100647741,0.5080430400923942,0.01501196275378211,-1133.6373381173037,-571.7660610400133,19.12831994404603,2,211.4011170935098,True,,,
hgb82+K0,candidate,,703.5161739994832,-1278.0885390053963,1557.4027571403662,-0.02734450692289292,664.7360080662495,799.8265534714977,651.7764812872216,195.18956452140588,0.006647360080662495,0.24705329251875735,0.6873167867945364,0.5547282742738935,0.5216427024337941,0.0017295515248646892,839.0623156803802,-132.78211901570637,22.4470669250058,4,196.73421265815955,True,,,
hgb82_reg_avg3+RC2,candidate,,675.0021438119134,-1130.1130939302498,nan,nan,-354.28932811774615,-227.5554750591682,630.4888704906185,316.42096537333043,-0.0035428932811774616,0.2507897901538292,0.6950929523619833,0.5372578366963909,0.5098656467572673,0.016834569418655188,-1741.1157148057691,-746.4577504512349,18.971389732821642,2,168.22018247058975,True,,,
hgb82_reg+RC2,candidate,,674.8306772777205,-1095.0415241020153,nan,nan,-340.2939648696979,-210.1054234121474,616.932997035457,301.37781065234554,-0.003402939648696979,0.25075480108318565,0.695002866367906,0.5368751529269687,0.5100700400523033,0.017038962713691125,-1746.8258987417532,-752.6206311008309,18.943420686559797,2,168.0487159363969,True,,,
hgb82+RC2,candidate,,660.1611608850686,-885.2758909149939,nan,nan,-243.07937300949158,-112.55736501496261,599.3631778231684,249.07876736602174,-0.0024307937300949156,0.25051174606718124,0.6944304334141962,0.5362741768828528,0.5102134715869893,0.017182394248377142,-1392.5679478763163,-640.0354132490072,18.709298720260463,2,153.37919954374502,True,,,
glm_offset_hgb+K1_iso,candidate,,593.9841404809882,-1154.517306718748,1379.7741119879768,-0.028240160874560827,619.9328547664223,746.4437279681699,644.3225997361398,85.75698252653403,0.0061993285476642235,0.2471630176029734,0.6877804352926303,0.5555537629519073,0.5209233720615407,0.001010221152611332,742.1975805627303,526.5863817304373,23.21942852133032,4,87.20217913966462,True,,,
hgb82_reg_avg3+K1_iso,candidate,,561.3763463833578,-1476.892778327054,1375.5082753608986,-0.028336416759630945,151.32855709783232,320.48135889360924,625.7023722219687,-1701.4374749892886,0.001513285570978323,0.24833134198014079,0.7296385250496159,0.5550746677536966,0.524600969984093,0.004687819075163524,-294.37657737881466,416.3478994423764,30.322845974568274,4,54.59438504203422,True,,,
